SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,12/12/2024 12:00:00 AM,87.75
17K548,BROOKLYN SCHOOL FOR MUSIC THEATRE,12/12/2024 12:00:00 AM,79.01
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,12/12/2024 12:00:00 AM,62
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,12/12/2024 12:00:00 AM,92.22
17K600,CLARA BARTON HIGH SCHOOL,12/12/2024 12:00:00 AM,73.8
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,12/12/2024 12:00:00 AM,53.64
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,12/12/2024 12:00:00 AM,84.15
17K722,NEW HEIGHTS MIDDLE SCHOOL,12/12/2024 12:00:00 AM,91.15
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,12/12/2024 12:00:00 AM,81.38
17K751,ACADEMY FOR HEALTH CAREERS,12/12/2024 12:00:00 AM,79.87
17K770,P.S. 770 NEW AMERICAN ACADEMY,12/12/2024 12:00:00 AM,88.64
18K066,P.S. 66,12/12/2024 12:00:00 AM,92.46
18K068,I.S. 068 ISAAC BILDERSEE,12/12/2024 12:00:00 AM,89.69
18K114,P.S. 114 RYDER ELEMENTARY,12/12/2024 12:00:00 AM,89.55
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,12/12/2024 12:00:00 AM,92.31
18K135,P.S. 135 SHELDON A. BROOKNER,12/12/2024 12:00:00 AM,89.93
18K208,P.S. 208 ELSA EBELING,12/12/2024 12:00:00 AM,95.4
18K211,I.S. 211 JOHN WILSON,12/12/2024 12:00:00 AM,87.56
18K219,P.S. 219 KENNEDY KING,12/12/2024 12:00:00 AM,87.72
18K233,P.S. 233 LANGSTON HUGHES,12/12/2024 12:00:00 AM,91.01
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,12/12/2024 12:00:00 AM,95.51
18K244,P.S. 244 RICHARD R. GREEN,12/12/2024 12:00:00 AM,95.65
18K268,P.S. 268 EMMA LAZARUS,12/12/2024 12:00:00 AM,89.96
18K272,P.S. 272 CURTIS ESTABROOK,12/12/2024 12:00:00 AM,86.17
18K276,P.S. 276 LOUIS MARSHALL,12/12/2024 12:00:00 AM,82.42
18K279,P.S. 279 HERMAN SCHREIBER,12/12/2024 12:00:00 AM,93.52
18K285,I.S. 285 MEYER LEVIN,12/12/2024 12:00:00 AM,91.53
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,12/12/2024 12:00:00 AM,90.29
18K563,IT TAKES A VILLAGE ACADEMY,12/12/2024 12:00:00 AM,79.55
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,12/12/2024 12:00:00 AM,79.76
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,12/12/2024 12:00:00 AM,80.5
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,12/12/2024 12:00:00 AM,79.56
18K576,VICTORY COLLEGIATE HIGH SCHOOL,12/12/2024 12:00:00 AM,81.03
18K578,BROOKLYN BRIDGE ACADEMY,12/12/2024 12:00:00 AM,53.42
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",12/12/2024 12:00:00 AM,89.94
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,12/12/2024 12:00:00 AM,88.88
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,12/12/2024 12:00:00 AM,78.92
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,12/12/2024 12:00:00 AM,81.01
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,12/12/2024 12:00:00 AM,86.27
18K635,OLYMPUS ACADEMY,12/12/2024 12:00:00 AM,NS
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,12/12/2024 12:00:00 AM,76.19
18K642,URBAN ACTION ACADEMY,12/12/2024 12:00:00 AM,75.95
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12/12/2024 12:00:00 AM,60
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,12/12/2024 12:00:00 AM,94.73
18K961,LENOX ACADEMY M. S. 961,12/12/2024 12:00:00 AM,95.05
19K007,P.S. 007 ABRAHAM LINCOLN,12/12/2024 12:00:00 AM,90.55
19K013,P.S. 013 ROBERTO CLEMENTE,12/12/2024 12:00:00 AM,89.97
19K065,P.S. 065,12/12/2024 12:00:00 AM,93.78
19K089,P.S. 089 CYPRESS HILLS,12/12/2024 12:00:00 AM,95.28
19K108,P.S. 108 SAL ABBRACCIAMENTO,12/12/2024 12:00:00 AM,93.58
19K149,P.S. 149 DANNY KAYE,12/12/2024 12:00:00 AM,93.29
